Month	Year	Fractional Date	Excel Date	CPI-Price	SPX-TR-Price	10Y BM-Price	Cash-Price	Non-US Stocks (NEW)-Price	Gold-Price	CAPE	SPX-TR	10Y BM	Cash	Non-US Stocks (NEW)	Custum Series (NEW)	Gold
1	1871	1,871.00	N/A	12.464	100.00	100.00	100.00	100.00	22.59	11.0973						
2	1871	1,871.08	N/A	12.845	101.87	102.29	100.53	101.87	22.59	10.9193	-1.15%	-0.74%	-2.45%	-1.15%	0.00%	-2.96%
3	1871	1,871.17	N/A	13.035	104.87	103.44	101.06	104.87	22.59	11.1932	1.44%	-0.36%	-0.94%	1.44%	0.00%	-1.46%
4	1871	1,871.25	N/A	12.559	108.45	105.05	101.60	108.45	22.59	12.0802	7.33%	5.40%	4.34%	7.33%	0.00%	3.79%
5	1871	1,871.33	N/A	12.274	111.47	106.73	102.13	111.47	22.59	12.5978	5.18%	3.96%	2.87%	5.18%	0.00%	2.33%
6	1871	1,871.42	N/A	12.083	111.08	107.95	102.67	111.08	22.59	12.6060	1.22%	2.74%	2.11%	1.22%	0.00%	1.58%
7	1871	1,871.50	N/A	12.083	109.55	106.63	103.22	109.55	22.59	12.2862	-1.38%	-1.22%	0.53%	-1.38%	0.00%	0.00%
8	1871	1,871.58	N/A	11.893	111.18	107.50	103.76	111.18	22.59	12.5467	3.11%	2.43%	2.14%	3.11%	0.00%	1.60%
9	1871	1,871.67	N/A	12.179	112.81	108.91	104.31	112.81	22.59	12.3054	-0.91%	-1.07%	-1.83%	-0.91%	0.00%	-2.34%
10	1871	1,871.75	N/A	12.369	107.49	108.59	104.86	107.49	22.59	11.4707	-6.18%	-1.83%	-1.02%	-6.18%	0.00%	-1.54%
11	1871	1,871.83	N/A	12.369	109.13	109.22	105.42	109.13	22.59	11.5951	1.53%	0.59%	0.53%	1.53%	0.00%	0.00%
12	1871	1,871.92	N/A	12.654	112.25	110.10	105.98	112.25	22.59	11.6069	0.54%	-1.47%	-1.74%	0.54%	0.00%	-2.26%
1	1872	1,872.00	N/A	12.654	115.42	107.31	106.67	115.42	23.19	11.9027	2.82%	-2.53%	0.65%	2.82%	0.00%	2.66%
2	1872	1,872.08	N/A	12.654	116.54	107.23	107.36	116.54	23.19	11.9771	0.97%	-0.08%	0.65%	0.97%	0.00%	0.00%
3	1872	1,872.17	N/A	12.845	120.62	108.12	108.06	120.62	23.19	12.1664	1.97%	-0.66%	-0.84%	1.97%	0.00%	-1.48%
4	1872	1,872.25	N/A	13.130	124.73	110.78	108.76	124.73	23.19	12.2671	1.16%	0.23%	-1.54%	1.16%	0.00%	-2.17%
5	1872	1,872.33	N/A	13.130	125.26	113.52	109.47	125.26	23.19	12.2902	0.43%	2.47%	0.65%	0.43%	0.00%	0.00%
6	1872	1,872.42	N/A	13.035	124.59	115.28	110.18	124.59	23.19	12.2770	0.19%	2.29%	1.39%	0.19%	0.00%	0.73%
7	1872	1,872.50	N/A	12.845	124.23	113.22	110.90	124.23	23.19	12.3739	1.18%	-0.33%	2.14%	1.18%	0.00%	1.48%
8	1872	1,872.58	N/A	12.940	123.32	113.58	111.62	123.32	23.19	12.1247	-1.46%	-0.43%	-0.09%	-1.46%	0.00%	-0.74%
9	1872	1,872.67	N/A	13.035	122.12	112.56	112.35	122.12	23.19	11.8512	-1.69%	-1.62%	-0.08%	-1.69%	0.00%	-0.73%
10	1872	1,872.75	N/A	12.749	123.07	114.41	113.08	123.07	23.19	12.1415	3.03%	3.92%	2.90%	3.03%	0.00%	2.24%
11	1872	1,872.83	N/A	13.130	123.38	115.39	113.82	123.38	23.19	11.7401	-2.65%	-2.07%	-2.27%	-2.65%	0.00%	-2.90%
12	1872	1,872.92	N/A	12.940	126.80	116.75	114.56	126.80	23.19	12.1753	4.28%	2.67%	2.13%	4.28%	0.00%	1.47%
1	1873	1,873.00	N/A	12.940	128.35	115.41	115.35	128.35	22.74	12.2485	1.22%	-1.15%	0.70%	1.22%	0.00%	-1.94%
2	1873	1,873.08	N/A	13.225	130.23	116.21	116.16	130.23	22.74	12.0830	-0.73%	-1.48%	-1.48%	-0.73%	0.00%	-2.16%
3	1873	1,873.17	N/A	13.225	129.65	117.77	116.96	129.65	22.74	11.9581	-0.44%	1.35%	0.70%	-0.44%	0.00%	0.00%
4	1873	1,873.25	N/A	13.225	128.47	119.22	117.78	128.47	22.74	11.7732	-0.91%	1.23%	0.70%	-0.91%	0.00%	0.00%
5	1873	1,873.33	N/A	12.940	129.50	121.49	118.60	129.50	22.74	12.0502	3.03%	4.16%	2.92%	3.03%	0.00%	2.21%
6	1873	1,873.42	N/A	12.559	128.64	123.46	119.42	128.64	22.74	12.2386	2.34%	4.70%	3.75%	2.34%	0.00%	3.03%
7	1873	1,873.50	N/A	12.559	129.07	120.93	120.25	129.07	22.74	12.1707	0.33%	-2.05%	0.70%	0.33%	0.00%	0.00%
8	1873	1,873.58	N/A	12.559	129.82	121.24	121.09	129.82	22.74	12.1335	0.58%	0.25%	0.70%	0.58%	0.00%	0.00%
9	1873	1,873.67	N/A	12.559	120.51	119.01	121.93	120.51	22.74	11.1590	-7.17%	-1.84%	0.70%	-7.17%	0.00%	0.00%
10	1873	1,873.75	N/A	12.274	110.84	116.77	122.78	110.84	22.74	10.3968	-5.89%	0.40%	3.04%	-5.89%	0.00%	2.33%
11	1873	1,873.83	N/A	11.893	107.56	117.01	123.64	107.56	22.74	10.3083	0.14%	3.41%	3.92%	0.14%	0.00%	3.20%
12	1873	1,873.92	N/A	12.179	118.48	123.28	124.50	118.48	22.74	10.9744	7.57%	2.89%	-1.66%	7.57%	0.00%	-2.34%
1	1874	1,874.00	N/A	12.369	125.34	122.14	125.21	125.34	23.09	11.3380	4.16%	-2.45%	-0.98%	4.16%	0.00%	-0.02%
2	1874	1,874.08	N/A	12.369	129.55	125.03	125.92	129.55	23.09	11.6334	3.36%	2.36%	0.57%	3.36%	0.00%	0.00%
3	1874	1,874.17	N/A	12.369	128.43	126.34	126.64	128.43	23.09	11.4482	-0.87%	1.05%	0.57%	-0.87%	0.00%	0.00%
4	1874	1,874.25	N/A	12.179	125.28	127.70	127.37	125.28	23.09	11.2591	-0.93%	2.65%	2.14%	-0.93%	0.00%	1.56%
5	1874	1,874.33	N/A	12.083	122.89	128.28	128.10	122.89	23.09	11.0370	-1.13%	1.24%	1.36%	-1.13%	0.00%	0.79%
6	1874	1,874.42	N/A	11.798	122.89	129.20	128.83	122.89	23.09	11.2055	2.42%	3.15%	3.00%	2.42%	0.00%	2.42%
7	1874	1,874.50	N/A	11.893	123.57	125.28	129.57	123.57	23.09	11.0750	-0.25%	-3.81%	-0.23%	-0.25%	0.00%	-0.80%
8	1874	1,874.58	N/A	11.798	124.60	125.93	130.31	124.60	23.09	11.1587	1.64%	1.33%	1.38%	1.64%	0.00%	0.81%
9	1874	1,874.67	N/A	11.798	127.37	126.04	131.05	127.37	23.09	11.3070	2.23%	0.09%	0.57%	2.23%	0.00%	0.00%
10	1874	1,874.75	N/A	11.608	127.72	126.70	131.80	127.72	23.09	11.4248	1.92%	2.17%	2.22%	1.92%	0.00%	1.64%
11	1874	1,874.83	N/A	11.513	129.13	128.85	132.55	129.13	23.09	11.5427	1.93%	2.54%	1.40%	1.93%	0.00%	0.83%
12	1874	1,874.92	N/A	11.513	129.49	131.36	133.31	129.49	23.09	11.4712	0.28%	1.95%	0.57%	0.28%	0.00%	0.00%
1	1875	1,875.00	N/A	11.513	130.26	129.97	133.86	130.26	23.54	11.4332	0.59%	-1.06%	0.41%	0.59%	0.00%	1.95%
2	1875	1,875.08	N/A	11.513	130.68	131.47	134.42	130.68	23.54	11.3707	0.32%	1.15%	0.41%	0.32%	0.00%	0.00%
3	1875	1,875.17	N/A	11.513	132.89	132.13	134.97	132.89	23.54	11.4699	1.69%	0.51%	0.41%	1.69%	0.00%	0.00%
4	1875	1,875.25	N/A	11.608	135.42	134.33	135.53	135.42	23.54	11.5104	1.07%	0.83%	-0.41%	1.07%	0.00%	-0.82%
5	1875	1,875.33	N/A	11.322	131.06	136.60	136.09	131.06	23.54	11.3465	-0.78%	4.26%	2.94%	-0.78%	0.00%	2.52%
